corr_species	corr_sample	corr_time	pvalue_species	pvalue_sample	pvalue_time
MEdarkslateblue	0.364209477668495	0.178001192517263	0.091530247641426	0.00193826445245945	0.140413995445147	0.451094117838019
MEmaroon	0.647773372027479	0.210760838590737	0.0608195017029215	1.35185313281269e-09	0.0798887802863092	0.616966899842941
MEsalmon	-0.269051675891226	-0.0905472761193086	0.0395605505817057	0.0243082997574377	0.455990341441672	0.745063778014562
MEcyan	-0.261548872495507	-0.240941905973341	-0.0860086136648993	0.028735348710077	0.044508055697591	0.478972402891794
MEplum2	-0.739115907109364	-0.23254405535318	-0.0417186030226996	2.75900324462151e-13	0.0527186464031616	0.731668077202478
MEskyblue3	-0.599931170174277	0.0311310550481558	-0.0463300496905507	4.05123172617634e-08	0.798079557234232	0.703314427872243
MEwhite	-0.57344859633511	-0.243838352083724	-0.0420094273756133	2.11707378148018e-07	0.0419334271097475	0.729868838267109
MEhoneydew1	-0.248632593047709	0.016805078880651	0.108670034829298	0.037943262770949	0.890177613235151	0.370528492344858
MEskyblue2	-0.405650088964827	-0.0630574634756194	-0.151396094859685	0.000494229429785543	0.604044045346249	0.21090189397521
MEviolet	-0.176959039988567	-0.0062964484034598	0.172190542696536	0.142789906772242	0.958742378317245	0.154047229429879
MEdarkturquoise	0.536562941764953	0.0140347804702747	0.425655022322505	1.68521370724571e-06	0.908195643436751	0.000239218111179141
MEmidnightblue	-0.054661428421051	-0.0121466794447484	0.481449679784535	0.653120023263427	0.920502941651564	2.45004862124151e-05
MEgreen	-0.656389008744841	-0.172148466070953	0.245509305369358	6.86871668855515e-10	0.154149414984739	0.0405050393672234
MEsienna3	-0.154263734779326	-0.270575715229681	0.238571564050725	0.202283806792067	0.0234835202029608	0.0467108222606666
MEmediumpurple3	-0.403457240307597	0.0744771576501399	0.00311206182621014	0.000533698555318809	0.540039789881974	0.979601423785635
MEdarkolivegreen	-0.219472671792808	0.377870969076902	-0.0588388907839033	0.06792499274502	0.00125955310017602	0.628501447377853
MEdarkorange	-0.427684608568396	0.363049147614599	-0.0376735765627654	0.000221674527902973	0.00200883280884965	0.75683906366655
MEorangered4	-0.516700905372138	0.266467977862137	-0.0180186446499879	4.66805082168846e-06	0.0257626240619257	0.882301465577546
MEblack	-0.611119193696373	0.169024911348924	0.000611253172818872	1.92398444071927e-08	0.161876563505664	0.995993019342738
MEyellow	-0.807186265166706	0.121154415909383	-0.0211962902130205	3.21104552459647e-17	0.31775334494262	0.861734005485179
MEred	-0.75590331272121	0.0413645721161479	-0.0589301738331722	3.90128981554776e-14	0.733860303018075	0.62796785692089
MEturquoise	-0.98455701675143	-0.056111041117045	-0.039306460144153	3.37345357597493e-53	0.644533530353936	0.746646056672222
MEdarkred	-0.441567102903381	0.0991272608529437	0.047154342818101	0.000129955049338058	0.414249322590679	0.698287157772833
MElavenderblush3	-0.523537871852993	-0.132565412168762	0.0724213431791186	3.31111606305486e-06	0.273960201573022	0.551313128720887
MEdarkgreen	-0.480566452186363	-0.172213569461287	0.0503308132826077	2.54808510645345e-05	0.15399132889529	0.679036652982287
MElightsteelblue1	-0.570096239084559	-0.0831972351842576	0.0553457673747219	2.58337851793469e-07	0.493512313194585	0.649060791267279
MEivory	-0.20172357463832	0.223548184444373	0.0632690476725984	0.0940097922300766	0.0628460015543893	0.602828450212029
MEmediumorchid	-0.415013223027992	0.110438803828691	0.045460166572871	0.00035388923065667	0.362744258696107	0.708633531050217
