corr_species	corr_sample	corr_time	pvalue_species	pvalue_sample	pvalue_time
MEroyalblue	-0.476653084654003	-0.139466295672603	0.0538763893661664	3.02795010170096e-05	0.24953208309954	0.657788957342979
MEsalmon	-0.508589594228003	0.0956255986844405	0.0415527484738297	6.94958143189287e-06	0.431011184344156	0.732694814285023
MEnavajowhite2	0.319861511378643	-0.199821515223346	-0.0495445823465608	0.00694902885048471	0.0972172232774584	0.68378303524338
MElightgreen	0.202137404894273	-0.262442390663216	-0.0148103400333012	0.0933230672170894	0.0281748701905629	0.903146346647272
MEsteelblue	0.664825000280743	-0.153631826439292	0.0158381983921586	3.46442966535549e-10	0.204160969838864	0.896460383558799
MEsienna3	-0.186029762446983	0.132842410876055	-0.436590191644303	0.123096571695663	0.272949924113896	0.000157792899849795
MEgrey60	0.13165448726041	0.0862692392864608	-0.0331640037785985	0.27730015241366	0.477636181665254	0.785200005480428
MEcyan	-0.191685033210583	0.0932245124254223	-0.308530035572462	0.111912610153854	0.44272360726722	0.00936056228486517
MEyellowgreen	-0.293608904990099	-0.0310504041834443	-0.261392444054277	0.0136284043024416	0.798591647720118	0.0288344309224686
MElightcyan	0.11962377062144	0.0480747228670561	-0.393884762150746	0.323951109528049	0.6926891269997	0.000741849758311765
MEgreenyellow	0.543128974211093	0.0455671264517139	-0.33534253954866	1.18598904753017e-06	0.707978744177712	0.00454216360592388
MEbrown	0.287915657420017	0.0727313830018797	-0.232325386342086	0.0156524603939343	0.549605765482158	0.052947944489268
MElightcyan1	0.632516818770173	0.0748195196302257	-0.0894647874887637	4.25978399767772e-09	0.538173417474777	0.461415910121927
MEfloralwhite	0.462692048599941	0.0593844976042601	0.0204224113013747	5.51018585295456e-05	0.625314961899163	0.866735074251447
MEdarkmagenta	0.256274625675893	0.0456751419814716	-0.00448402278876538	0.0322383360172323	0.707317708990867	0.970612024430762
MEmediumorchid	0.414239428130385	-0.134522901551578	-0.00625472662865941	0.000363928609466132	0.26687423612973	0.959015525194517
MEthistle1	0.26030948044338	0.393020404621173	-0.0121236561728464	0.0295283002676495	0.00076387304197785	0.920653136234486
MEskyblue3	0.431054884076593	-0.150920975258228	0.0323202051455796	0.000195130504848588	0.212354466693047	0.790539048686323
MEyellow4	0.455602203435159	-0.344825387292053	0.0307457554987703	7.39530798558337e-05	0.00346343092155319	0.800526769074146
MEplum1	0.370559144062296	-0.0536951371893367	0.0264781429344634	0.00159004182170556	0.658868800476494	0.827755342459603
MEsalmon4	0.128999617335089	-0.438100186695926	-0.0259743730618422	0.287188524261466	0.000148816052016426	0.830983604806597
MEdarkgreen	-0.547898431131771	-0.210829073952458	-0.0336600111429265	9.14553457712619e-07	0.0797889637630124	0.782066161075255
MEtan	-0.384456434749837	-0.094166203853664	0.0252163074653941	0.0010164034611868	0.438108997557966	0.835846690711801
MEhoneydew1	0.362521545795822	-0.012285296480972	0.0469464666864777	0.0020416758549138	0.919598718539121	0.699553761062493
MEmediumpurple2	0.17769739915979	0.0307257143189588	0.0961811214952733	0.141103495926105	0.80065411229346	0.428326616390016
MEdarkolivegreen	0.694900473772168	0.02432968382641	0.344825251653654	2.4984297972487e-11	0.841542274092285	0.00346344455918595
MElightyellow	0.502977787895391	0.000125648294590897	0.436849080382048	9.09835197085405e-06	0.999176327763636	0.000156219273733987
MEpurple	0.0823274363544833	0.00770969402229475	0.48820673266138	0.49805708283903	0.949493048063061	1.80822145807049e-05
MElightpink4	0.540325800762548	-0.0626146855115758	0.0101310115715562	1.37915332537265e-06	0.606591372719782	0.933662271159712
MEred	0.549441570904439	0.156919517828076	0.0186560340950388	8.40069435931058e-07	0.194528948730119	0.878169256080052
MEthistle2	0.551971804506129	0.0890950127037263	0.0256494098218055	7.30163667230296e-07	0.46327731437088	0.83306752113192
MEorangered3	0.582747829627967	-0.0459818615490768	0.0226655368082159	1.20452429554752e-07	0.705441818750454	0.85225428820936
MEskyblue	0.651410264877444	0.0898227894510892	0.0294391682594409	1.01846423481929e-09	0.45961766794749	0.808839626612237
MEcoral2	0.592188758921087	0.109579658072152	0.0230206069418427	6.67153775595091e-08	0.366512716160576	0.849966416989183
MEmaroon	0.706415564605032	0.187071186124167	0.0766578530670405	8.37161429411213e-12	0.120975367804511	0.528206262815679
MEivory	0.652204976717044	0.0330580396082395	-0.106513140445568	9.56866283650033e-10	0.785869945439955	0.380156898701313
MEturquoise	0.992793879462187	0.0272205702337809	0.0374278924838187	2.14147129024682e-64	0.823002910362957	0.758376340360176
MEgrey	-0.00120917744594037	0.0186652191003287	-0.176215554840729	0.992073509241362	0.878109732935052	0.144503262784913
