corr_sample	corr_time	pvalue_sample	pvalue_time
MElightsteelblue	-0.120050263696169	-0.283703415001497	0.498865255400508	0.103951549695617
MElavenderblush3	-0.00889737038767721	-0.135224790636445	0.960169801648836	0.445756378053005
MEyellow4	0.0302820576448026	0.0119784611960794	0.865004306187606	0.94639414684013
MEfirebrick4	-0.168318201398142	-0.170883899541248	0.34132160906005	0.333905165090278
MEpink4	-0.203442270490427	-0.327941838966172	0.248496532531149	0.0583011487255776
MEnavajowhite1	0.378890463385304	-0.0935665216581792	0.027120442214337	0.598657667971882
MEivory	0.0450768070343558	-0.26558879408913	0.800161665246619	0.128983387878596
MEpaleturquoise	-0.0753298872166983	-0.364389379160233	0.671990440770052	0.0341142745232044
MEdarkmagenta	0.0517115597692476	-0.346566362396985	0.77147695935517	0.0446498757301371
MEcyan	0.0756751520714214	-0.237555939676834	0.670571277196788	0.17611171667616
MElightgreen	0.158747359915353	-0.245579584108489	0.369862942115692	0.161529289454772
MEmediumpurple2	0.301682358154449	0.0480101708354182	0.0829259239576736	0.787445483040602
MEdarkseagreen3	-0.0252923924461602	-0.336273581807847	0.88709192660023	0.0518349393955286
MEcoral	0.302051291311343	-0.176405003009969	0.0825317907252102	0.31828452539856
MEskyblue	0.160718916553499	-0.261218348471041	0.363871092512483	0.1356397378911
MEbrown	0.423063533181732	0.0772532598335641	0.0126704379566664	0.664098985481899
MEdarkgrey	-0.00771516178782344	0.105132618453665	0.965458716339376	0.554026556595948
MEindianred3	0.0785656313284355	0.00875310624762368	0.658734643597322	0.960815119475613
MElavenderblush2	-0.262185667083037	0.1439629919324	0.134145154949993	0.416627085561684
MEtan4	-0.421597307864116	0.0657870455018743	0.0130152088174987	0.711640575443585
MEcoral1	-0.22869609614477	0.352298382092362	0.193272936132582	0.0410095289795254
MElightcoral	0.133333743493928	0.510194962991409	0.452202392239762	0.00205190633148264
MEsalmon4	0.307617574760861	0.0835185416112666	0.0767591097770714	0.638641607069453
MElightcyan1	0.114247683639904	0.18801850873701	0.51998605043515	0.286942637704584
MEsteelblue	0.169657980276388	0.0756040613762759	0.337436388819676	0.670863394406808
MEblue2	-0.0145958934527227	0.220884127920972	0.934703347415601	0.209346599615944
MEmediumorchid	0.346793277409281	0.253330745044254	0.0445009936679782	0.148286513594055
MEgreenyellow	0.632114486004088	-0.0858743320992413	6.06834838430795e-05	0.629171444856137
MEindianred4	0.677011853152229	-0.0808670414855259	1.09878967551353e-05	0.649367976101107
MElightpink3	0.557954995473053	0.016126822659077	0.000606538710705021	0.927871484810425
MEskyblue2	0.242360775882057	0.279451076599633	0.167271192136343	0.109467731166656
MEskyblue4	0.365917279558007	0.0852364381501358	0.0333144831020183	0.631730100702395
MElightcyan	0.261236337943185	0.072416073487903	0.135611831481922	0.684011219180758
MEplum	0.0161814428944587	-0.00288569105611587	0.927627829408545	0.987077265315826
MEmaroon	0.112171681957289	0.0832497544931091	0.527647617968432	0.639725730428351
MEred	-0.216672367682447	0.124266767533572	0.218384670949078	0.483794876013799
