corr_sample	corr_time	pvalue_sample	pvalue_time
MEsienna4	-0.359247987943774	0.105744541906369	0.0369210460330446	0.551709208046745
MEdarkslateblue	-0.463406829015845	-0.0941857265283254	0.00577741381239739	0.59622942220999
MEplum	-0.47698864520948	0.0370693447905971	0.00434087856927954	0.835122780111115
MEmediumpurple1	-0.373007398404064	0.112553292239081	0.0298004865625798	0.52623517009932
MEred	0.0892782962133922	-0.0370197214517343	0.615589966248733	0.835340482302022
MEbrown4	-0.297296665605898	0.0113761404254066	0.0877231738713704	0.949086065654729
MEdarkgrey	-0.653494557282353	0.03930991922811	2.78455418779527e-05	0.825305943517467
MEcoral3	-0.00938680744995405	0.0140470382946532	0.957980654693084	0.937153786954532
MEskyblue	-0.138916339306356	-0.0453385329288148	0.433317870179711	0.799024975405782
MEdeeppink	-0.440064239728284	0.198713974257228	0.00920293247298327	0.259898063840132
MEplum3	-0.280851054471153	0.129418135538853	0.10762787332071	0.465707544245445
MEdarkorange2	-0.611853436970448	0.0410779546348264	0.000120547401424664	0.817577729902851
MElightblue4	-0.517548446096618	0.0213126038834508	0.00172033567382995	0.904770038271194
MEantiquewhite4	-0.258714722831679	0.0360981995764162	0.139564843685188	0.839385450986317
MElightsteelblue1	-0.0465669322766382	0.310282883326337	0.793695422913201	0.0741083802436646
MEnavajowhite1	-0.246670070844878	0.105166558906801	0.159616538339088	0.553897905663286
MEturquoise	-0.379457540562714	-0.121272983688028	0.026872928105537	0.494470779215939
MEorangered3	-0.0184691215562372	-0.0169804835599107	0.917428792024303	0.924064138978836
MEyellow3	0.0757953688931804	-0.066344447627106	0.670077404802282	0.709302838982502
MEdarkolivegreen4	-0.157639979527806	0.0619510153419104	0.373253880704645	0.727797893844065
MEhoneydew1	-0.231116784082752	0.139365391135768	0.188472321122699	0.431817971376555
MEplum2	-0.238039892683355	0.232142854830472	0.175206559194917	0.186462947032988
MElightslateblue	-0.201340996911392	0.465424563798109	0.253521583411237	0.0055411545333554
MEnavajowhite2	-0.288629385242189	0.156691179377931	0.0978273670413036	0.376173752815579
MEwhite	0.00500623611580667	0.285370792378006	0.977582891926465	0.101846969235092
MEmaroon	0.0567514815197891	0.040058168919767	0.749882304098314	0.822033276729181
MElightcyan	-0.213825705265671	0.344491271378823	0.224642410035787	0.0460300064885994
MEskyblue3	-0.111631135457217	0.287987051291037	0.529651478803809	0.0986100030953222
MEblue2	-0.327217281399744	0.429393758325642	0.0588923267509392	0.0112689133526345
MEskyblue2	-0.227937648070919	0.287728604114508	0.194794499490639	0.0989262410071864
MEcyan	-0.239711821314258	0.375295569775686	0.17210492308958	0.0287334469275178
MEplum1	-0.27628688066009	0.114598210266438	0.11371323163607	0.518697831563254
MEfirebrick3	-0.654608523391344	0.0786179368055141	2.66936155349991e-05	0.658521187941503
MEdarkolivegreen	-0.364264289251627	0.166150621420903	0.0341804397003309	0.347664833835451
MEmagenta3	-0.314596600421741	0.144968474755071	0.0699698214485664	0.413345375943672
MEpalevioletred2	-0.106414471330454	-0.282377689533643	0.549177403621518	0.105648239282864
MEblue4	0.0399922056665389	0.0509373322771772	0.822321666713993	0.774809750139786
MEdarkorange	-0.132179567138329	0.143934534647056	0.45616114570167	0.416720177297253
MElightyellow	0.171464306993607	0.000946176122296091	0.332241265088454	0.99576266581683
MEtan	-0.0200237760939867	-0.34930358519998	0.910505036554538	0.0428804033850834
MEyellow4	-0.0827540045234653	-0.225276296795543	0.641727205117979	0.200199704739444
MEcoral2	-0.205853129904875	-0.273073830573299	0.242813380742753	0.118149409529118
MEdarkseagreen3	-0.00680496512908499	0.0126345941773248	0.96953171333797	0.943462392173168
MEantiquewhite2	0.117084050556713	-0.164818076517197	0.509607412618291	0.351599594300734
MEdarkviolet	0.0564683055221179	-0.28722085356944	0.751090866085075	0.0995497720607749
MEdarkred	0.0659392034221257	-0.243424477775364	0.711002170070075	0.165357776090936
MEmagenta	0.141266417436081	-0.374466835671519	0.425500096301033	0.0291162323852294
MEpink	0.107210892195352	-0.286503833376024	0.546174681164242	0.100435369710508
MEsaddlebrown	0.0416316296677953	-0.359172658907742	0.815161007091889	0.0369635194949259
MEbrown2	0.184323556161467	-0.251366414588913	0.296691152528642	0.151565239430556
MEsalmon	-0.167409151440219	-0.378702188322548	0.343973220001884	0.0272030322318474
MEcoral	0.428540332019055	-0.0182649643385673	0.0114498564677874	0.918338473590821
MEmediumorchid	0.365362015221229	-0.272408950516567	0.0336033550221575	0.119083312795888
MEcoral1	0.165860709884359	-0.176298321839391	0.348518611087807	0.318581962677844
MEorangered4	0.0463512392407075	-0.255942384149059	0.794630575667253	0.14400763530472
MEblack	-0.43019870132633	-0.0747989301524867	0.01110047011051	0.67417503903311
