corr_sample	corr_time	pvalue_sample	pvalue_time
MEorangered1	0.084174571192076	0.0133962386991513	0.625485248006653	0.93819067765743
MEdarkseagreen3	-0.115631963282531	-0.0192685220761685	0.501860745086655	0.911187178952843
MEcoral2	-0.14360658358	0.0024497459081816	0.403394369367608	0.988686583419972
MElightcoral	0.0497880749543909	0.017759644241763	0.773067635527874	0.918117561131081
MEmagenta4	0.00100484159600283	0.0677202397540246	0.995359316991187	0.694738533947965
MEplum1	0.195387267912415	0.0208150092404798	0.25345440242738	0.904090748956855
MEsteelblue	0.0861568583277256	0.0076290389012733	0.617336941599451	0.964777378834843
MEantiquewhite2	-0.259244676099888	0.0629490291049073	0.126808102180112	0.715315381260733
MEpink4	-0.378012222009996	0.0310130912058084	0.0230196264063981	0.857502305637215
MEskyblue3	-0.216132338961375	-0.0336158073412918	0.205493321935318	0.845681424809924
MEbrown2	0.31988637498241	0.0787320168734493	0.0571848929353017	0.648080635477591
MEyellow4	0.274025004894085	-0.0210841904910276	0.105823807022088	0.902856277526892
MEred	0.1397879517761	-0.0185620986668542	0.416142732079875	0.914431059230756
MEtan	-0.238648425492923	-0.00899963378263671	0.161003436292461	0.958454508296581
MEyellow3	-0.480455095772065	-0.00736872198166002	0.00301891148988614	0.965978531574422
MElightsteelblue	-0.322856409389852	0.0450535111894456	0.0547873018158124	0.794159311717065
MEthistle3	-0.627873911576942	0.137694301167603	4.1443624831317e-05	0.423227558686347
MEgreenyellow	-0.192403849990313	-0.0191257868386791	0.260917584922874	0.911842503660754
MElightsteelblue1	-0.538696951933529	0.0346484665995642	0.000700182090914832	0.841000376782295
MEorangered4	-0.824954143727341	-0.0564042026725336	6.10862370622508e-10	0.743863135052614
MEyellowgreen	-0.374769876630081	-0.0574267706439532	0.0243193195075054	0.739379479184518
MEdarkgreen	0.640597838308944	-0.041271543718441	2.57268317740951e-05	0.811112018254856
MEorangered3	0.199115582365112	-0.0938469569394254	0.24432926396101	0.586156926545175
