"og_id"	"Acom"	"Tfas"	"Tlei"
"1248"	"OG0001552"	1	4	1
"1252"	"OG0001556"	3	2	1
"1256"	"OG0001560"	1	5	1
"1257"	"OG0001561"	3	2	1
"1262"	"OG0001566"	1	6	1
"1271"	"OG0001575"	2	4	1
"1285"	"OG0001594"	1	2	1
"1289"	"OG0001599"	3	2	1
"1293"	"OG0001603"	1	3	2
"1294"	"OG0001604"	1	4	1
"1295"	"OG0001606"	1	3	2
"1296"	"OG0001607"	1	2	1
"1302"	"OG0001618"	3	2	1
"1304"	"OG0001620"	2	3	1
"1312"	"OG0001629"	3	2	1
"1329"	"OG0001646"	2	2	1
"1330"	"OG0001647"	1	5	1
"1334"	"OG0001651"	2	3	1
"1336"	"OG0001653"	3	2	1
"1341"	"OG0001659"	1	2	1
"1351"	"OG0001669"	3	2	1
"1355"	"OG0001674"	3	2	1
"1357"	"OG0001676"	1	2	1
"1360"	"OG0001679"	1	4	1
"1361"	"OG0001680"	1	3	1
"1363"	"OG0001682"	2	2	1
"1368"	"OG0001687"	1	3	1
"1370"	"OG0001689"	2	3	1
"1377"	"OG0001700"	1	2	1
"1381"	"OG0001704"	1	13	1
"1383"	"OG0001706"	1	5	1
"1384"	"OG0001707"	1	3	1
"1387"	"OG0001710"	1	2	1
"1394"	"OG0001717"	1	4	1
"1395"	"OG0001718"	1	2	1
"1413"	"OG0001739"	2	9	1
"1414"	"OG0001741"	1	4	1
"1417"	"OG0001745"	3	2	1
"1420"	"OG0001748"	2	4	1
"1423"	"OG0001751"	1	2	1
"1430"	"OG0001759"	1	3	2
"1434"	"OG0001763"	2	2	1
"1437"	"OG0001767"	1	3	2
"1441"	"OG0001771"	1	3	1
"1443"	"OG0001774"	1	5	2
"1445"	"OG0001777"	1	3	1
"1450"	"OG0001782"	0	4	1
"1454"	"OG0001786"	0	4	1
"1455"	"OG0001787"	0	3	2
"1457"	"OG0001789"	0	3	1
"1458"	"OG0001790"	0	7	2
"1460"	"OG0001792"	0	2	1
"1461"	"OG0001793"	0	9	2
"1462"	"OG0001794"	0	5	1
"1463"	"OG0001795"	0	7	1
"1465"	"OG0001797"	0	5	2
"1471"	"OG0001803"	0	3	1
"1473"	"OG0001805"	0	3	2
"1474"	"OG0001806"	0	3	1
"1478"	"OG0001810"	0	2	1
"1481"	"OG0001813"	0	3	1
"1483"	"OG0001815"	0	4	2
"1484"	"OG0001816"	0	4	2
"1486"	"OG0001818"	0	3	1
"1487"	"OG0001819"	0	4	1
"1488"	"OG0001820"	0	5	3
"1494"	"OG0001826"	0	3	2
"1496"	"OG0001828"	0	7	1
"1499"	"OG0001831"	0	2	1
"1527"	"OG0001863"	1	2	1
"1528"	"OG0001865"	1	2	1
"1532"	"OG0001869"	1	3	1
"1534"	"OG0001871"	2	2	1
"1536"	"OG0001873"	2	2	1
"1538"	"OG0001875"	1	3	1
"1542"	"OG0001879"	2	2	1
"1547"	"OG0001884"	1	2	1
"1548"	"OG0001885"	2	2	1
"1554"	"OG0001891"	2	2	1
"1574"	"OG0001911"	2	2	1
"1576"	"OG0001913"	2	2	1
"1577"	"OG0001914"	1	2	1
"1590"	"OG0001928"	1	2	1
"1591"	"OG0001930"	2	2	1
"1597"	"OG0001936"	2	2	1
"1610"	"OG0001949"	1	3	1
"1613"	"OG0001952"	2	2	1
"1617"	"OG0001956"	1	3	1
"1621"	"OG0001960"	1	3	2
"1626"	"OG0001965"	2	2	1
"1629"	"OG0001969"	2	2	1
"1631"	"OG0001972"	2	2	1
"1638"	"OG0001979"	1	4	1
"1639"	"OG0001980"	1	3	1
"1640"	"OG0001981"	2	2	1
"1645"	"OG0001986"	1	3	1
"1647"	"OG0001988"	1	2	1
"1648"	"OG0001989"	2	2	1
"1649"	"OG0001992"	2	2	1
"1652"	"OG0001996"	1	3	1
"1653"	"OG0001997"	1	3	1
"1659"	"OG0002003"	1	3	1
"1661"	"OG0002005"	2	2	1
"1668"	"OG0002013"	2	2	1
"1669"	"OG0002014"	1	2	1
"1688"	"OG0002036"	2	2	1
"1700"	"OG0002048"	1	2	1
"1710"	"OG0002058"	2	2	1
"1711"	"OG0002059"	2	2	1
"1725"	"OG0002075"	2	2	1
"1727"	"OG0002077"	2	2	1
"1736"	"OG0002087"	2	2	1
"1738"	"OG0002089"	1	3	1
"1739"	"OG0002090"	2	2	1
"1760"	"OG0002111"	2	2	1
"1765"	"OG0002116"	2	2	1
"1771"	"OG0002122"	2	2	1
"1779"	"OG0002130"	2	2	1
"1783"	"OG0002135"	1	3	1
"1790"	"OG0002142"	2	2	1
"1795"	"OG0002147"	2	2	1
"1801"	"OG0002153"	2	2	1
"1802"	"OG0002154"	1	2	1
"1807"	"OG0002159"	2	2	1
"1809"	"OG0002161"	2	2	1
"1812"	"OG0002164"	2	2	1
"1821"	"OG0002173"	2	2	1
"1825"	"OG0002177"	2	2	1
"1832"	"OG0002185"	2	2	1
"1836"	"OG0002190"	2	2	1
"1838"	"OG0002192"	1	2	1
"1846"	"OG0002200"	2	2	1
"1851"	"OG0002206"	1	2	1
"1862"	"OG0002217"	2	2	1
"1876"	"OG0002233"	1	3	1
"1878"	"OG0002235"	2	2	1
"1881"	"OG0002238"	1	3	1
"1884"	"OG0002243"	1	2	1
"1887"	"OG0002246"	1	3	1
"1893"	"OG0002252"	2	2	1
