ID	adj_pval
GO:0046522	2.4e-05
GO:0020037	3.1e-05
GO:0004634	9.1e-05
GO:0016709	0.00012
GO:0004672	0.00019
GO:0005488	2e-04
GO:0033857	2e-04
GO:0000829	2e-04
GO:0000832	2e-04
GO:0071074	2e-04
GO:0047350	2e-04
GO:0010491	2e-04
GO:0003980	2e-04
GO:0047338	2e-04
GO:0017103	2e-04
GO:0042292	2e-04
GO:0102092	2e-04
GO:0052723	2e-04
GO:0052724	2e-04
GO:0004845	2e-04
GO:0005506	0.00021
GO:0016688	0.00022
GO:0008097	0.00035
GO:0005200	0.00036
GO:0031625	0.00039
GO:0036402	4e-04
GO:0004108	0.00042
GO:0047274	0.00042
GO:0004046	0.00042
GO:0004478	0.00042
GO:0004535	0.00044
GO:0061631	0.00051
GO:0009045	0.00092
GO:0003989	0.00093
GO:1990825	0.001
GO:0004364	0.00127
GO:0008179	0.00142
GO:0016532	0.00171
GO:0003876	0.00171
GO:0052893	0.00171
GO:0016984	0.00171
GO:0052896	0.00171
GO:0047293	0.00171
GO:0061604	0.00171
GO:0061605	0.00171
GO:0008721	0.00171
GO:0018114	0.00171
GO:0004378	0.00171
GO:0031409	0.00171
GO:0034387	0.00171
GO:0004056	0.00171
GO:0004333	0.00171
GO:0044547	0.00171
GO:0004633	0.00171
GO:0008887	0.00171
GO:0003941	0.00171
GO:1990247	0.00171
GO:0005080	0.00171
GO:0030378	0.00171
GO:0008808	0.00171
GO:0102351	0.00171
GO:0002083	0.00171
GO:0000906	0.00171
GO:0052900	0.00171
GO:0072587	0.00171
GO:0004449	0.00203
GO:0004784	0.00227
GO:0010181	0.0025
GO:0016767	0.00251
GO:0004075	0.00251
GO:0036310	0.00251
GO:0008177	0.00251
GO:0046905	0.00251
GO:0004427	0.00308
GO:0031083	2.2e-16
GO:0099078	4.4e-16
GO:0009840	4.4e-09
GO:0062091	2.8e-07
GO:0005749	1.1e-06
GO:0000221	1.3e-06
GO:0030688	4.7e-06
GO:0071004	1.9e-05
GO:0031359	2.1e-05
GO:0000015	2.8e-05
GO:0000159	6.5e-05
GO:0008274	7.4e-05
GO:0017059	0.00013
GO:0031021	0.00013
GO:0005829	0.00016
GO:0005686	0.00017
GO:0019185	0.00024
GO:0017087	0.00041
GO:0016021	5e-04
GO:0005719	0.00057
GO:0035618	0.00058
GO:0009501	0.00071
GO:0010494	0.00099
GO:0001673	0.00118
GO:0005856	0.0012
GO:0000274	0.0012
GO:0009349	0.0012
GO:0030906	0.0012
GO:0009782	0.0012
GO:0019867	0.0012
GO:0030122	0.0016
GO:0030687	0.00175
GO:0005793	0.0019
GO:0009706	0.00193
GO:0030864	0.00202
GO:0018444	0.00215
GO:0031314	0.00215
GO:0010168	0.00215
GO:0009986	0.00215
GO:0030131	0.00239
GO:0070847	0.00241
GO:0030126	0.00303
GO:0030014	0.00391
GO:0009534	0.0046
GO:0031461	0.00616
GO:0030904	0.00624
GO:0000275	0.00835
GO:0071013	0.00851
GO:0048471	0.00859
GO:0045025	0.01016
GO:0033186	0.01016
GO:0005784	0.01016
GO:0033588	0.01029
GO:0005840	0.01103
GO:0043186	0.01187
GO:0031305	0.01326
GO:0016020	0.01391
GO:0031201	0.01435
GO:0000815	0.0162
GO:0000243	0.01627
GO:0000112	0.01871
