ID	adj_pval
GO:0003871	0.00021
GO:0050377	0.00021
GO:0004516	0.00021
GO:0004176	0.00022
GO:0016688	0.00023
GO:0044183	0.00027
GO:0019158	0.00028
GO:0004340	0.00028
GO:0016174	0.00029
GO:0004749	0.00032
GO:0004365	0.00032
GO:0016464	0.00032
GO:0004161	0.00033
GO:0050664	0.00035
GO:0035615	0.00035
GO:0003978	0.00035
GO:0004869	0.00038
GO:0015297	0.00048
GO:0051287	0.00049
GO:0017091	5e-04
GO:0004784	5e-04
GO:0030626	0.00052
GO:0009931	0.00053
GO:0008198	0.00055
GO:0031386	0.00062
GO:0008199	0.00065
GO:0030976	0.00065
GO:0051117	0.00066
GO:0005509	0.00067
GO:0004672	0.00072
GO:0000171	0.00075
GO:0004751	0.00082
GO:0004467	0.00086
GO:0046522	0.00087
GO:0008840	0.00087
GO:0003878	0.00087
GO:1990883	0.00087
GO:0017049	0.00087
GO:0004577	0.00087
GO:0032051	0.00087
GO:0010280	0.00087
GO:0004070	0.00087
GO:0010181	0.00101
GO:0046408	0.00116
GO:0004605	0.00116
GO:0003958	0.00116
GO:0005829	2.2e-15
GO:0099078	3.3e-10
GO:0030126	3.6e-10
GO:0031083	6e-10
GO:0005750	1e-07
GO:0000159	3.5e-07
GO:0043186	1.2e-06
GO:0048046	2.4e-06
GO:0000127	4.3e-06
GO:0034098	1.4e-05
GO:0071004	1.9e-05
GO:0000172	2.6e-05
GO:0035339	3.3e-05
GO:0017087	5.9e-05
GO:0005737	6.4e-05
GO:0005686	8.7e-05
GO:0010494	0.00013
GO:0009840	0.00016
GO:0062091	0.00019
GO:0005749	0.00021
GO:0034399	0.00024
GO:0030687	0.00024
GO:0005793	0.00035
GO:0002189	0.00062
GO:0071261	0.00062
GO:0071439	0.00062
GO:0030121	0.00062
GO:0032432	0.00075
GO:0009514	0.00075
GO:0030141	8e-04
GO:0016021	0.00098
GO:0031201	0.00099
GO:0070847	0.00104
GO:0000015	0.00105
GO:0030134	0.00141
GO:0032580	0.00142
GO:0009501	0.00142
GO:0000221	0.00184
GO:0000145	0.00205
GO:0030677	0.00207
GO:0030688	0.00216
GO:0031932	0.00216
GO:0043541	0.00259
GO:0070209	0.00259
GO:0017059	0.00272
GO:0043291	0.00273
GO:0031021	0.00273
GO:1990298	0.00303
GO:0008274	0.00303
GO:0033597	0.00303
GO:0031359	0.00306
GO:0031305	0.00428
GO:0005839	0.00454
GO:0005886	0.00588
GO:0031931	0.0067
GO:0005741	0.0071
GO:0005884	0.00856
GO:0019185	0.00861
GO:0005730	0.0091
GO:0005687	0.00997
GO:0035618	0.01117
GO:0005615	0.01189
GO:0019867	0.01192
GO:0000274	0.01195
GO:0009782	0.01195
GO:0009349	0.01195
GO:0031004	0.01195
