og_id	correction_factor	corr_Tlei_count	old_Tlei_count	total_mean_cov	expected_mean_cov
OG0000428	1.01241844561363	7	7	359.29440813728	354.88726
OG0000426	0.87944154140111	2	2	89.1721711308618	101.39636
OG0000421	0.675569145251874	1	2	68.5002522568513	101.39636
OG0000420	0.945655446342998	3	3	143.829030110033	152.09454
OG0000423	0.97876378758865	2	2	99.2430853613023	101.39636
OG0016231	0.632943673624303	1	2	64.1781845905323	101.39636
OG0001733	1.00664132813794	3	3	153.104649748129	152.09454
OG0001736	1.02543942554922	2	2	103.975825151182	101.39636
OG0001737	0.812039724476239	2	3	123.50680835594	152.09454
OG0001734	0.942230864750666	2	2	95.5387799653698	101.39636
OG0013501	0.831304961218693	2	2	84.2912971175166	101.39636
OG0005123	0.982072859067613	2	2	99.578613164249	101.39636
OG0004650	0.874144201168464	2	2	88.63504011359	101.39636
