"chrom" "V2" "V3" "V4"
"232" "Scaffold_2287" "14000001" "1.5e+07" "4"
"233" "Scaffold_2287" "15000001" "1.6e+07" "1"
"234" "Scaffold_2287" "16000001" "1.7e+07" "4"
"235" "Scaffold_2287" "17000001" "1.8e+07" "1"
"236" "Scaffold_2287" "18000001" "1.9e+07" "2"
"237" "Scaffold_2287" "19000001" "2e+07" "3"
"238" "Scaffold_2287" "20000001" "2.1e+07" "3"
"239" "Scaffold_2287" "21000001" "2.2e+07" "7"
"240" "Scaffold_2287" "22000001" "2.3e+07" "20"
"241" "Scaffold_2287" "23000001" "2.4e+07" "21"
"242" "Scaffold_2287" "24000001" "2.5e+07" "32"
"243" "Scaffold_2287" "25000001" "2.6e+07" "69"
"244" "Scaffold_2287" "26000001" "2.7e+07" "81"
"245" "Scaffold_2287" "27000001" "2.8e+07" "8"
"246" "Scaffold_326" "1" "1e+06" "71"
"247" "Scaffold_326" "1000001" "2e+06" "61"
"248" "Scaffold_326" "2000001" "3e+06" "53"
"249" "Scaffold_326" "3000001" "4e+06" "24"
"250" "Scaffold_326" "4000001" "5e+06" "23"
"251" "Scaffold_326" "5000001" "6e+06" "9"
"252" "Scaffold_326" "6000001" "7e+06" "3"
"253" "Scaffold_326" "7000001" "8e+06" "8"
"254" "Scaffold_326" "8000001" "9e+06" "6"
"255" "Scaffold_326" "9000001" "1e+07" "2"
"256" "Scaffold_326" "10000001" "1.1e+07" "4"
"257" "Scaffold_326" "11000001" "1.2e+07" "1"
"258" "Scaffold_326" "12000001" "1.3e+07" "2"
"259" "Scaffold_326" "13000001" "1.4e+07" "3"
"260" "Scaffold_326" "14000001" "1.5e+07" "4"
"261" "Scaffold_326" "15000001" "1.6e+07" "3"
"262" "Scaffold_326" "16000001" "1.7e+07" "3"
"263" "Scaffold_326" "17000001" "1.8e+07" "8"
"264" "Scaffold_326" "18000001" "1.9e+07" "4"
"265" "Scaffold_326" "19000001" "2e+07" "2"
"266" "Scaffold_326" "20000001" "2.1e+07" "7"
"267" "Scaffold_326" "21000001" "2.2e+07" "8"
"268" "Scaffold_326" "22000001" "2.3e+07" "9"
