"chrom" "V2" "V3" "V4"
"228" "Scaffold_2287" "10000001" "1.1e+07" "14"
"229" "Scaffold_2287" "11000001" "1.2e+07" "10"
"230" "Scaffold_2287" "12000001" "1.3e+07" "8"
"231" "Scaffold_2287" "13000001" "1.4e+07" "4"
"232" "Scaffold_2287" "14000001" "1.5e+07" "5"
"233" "Scaffold_2287" "15000001" "1.6e+07" "5"
"234" "Scaffold_2287" "16000001" "1.7e+07" "9"
"235" "Scaffold_2287" "17000001" "1.8e+07" "5"
"236" "Scaffold_2287" "18000001" "1.9e+07" "0"
"237" "Scaffold_2287" "19000001" "2e+07" "9"
"238" "Scaffold_2287" "20000001" "2.1e+07" "3"
"239" "Scaffold_2287" "21000001" "2.2e+07" "22"
"240" "Scaffold_2287" "22000001" "2.3e+07" "18"
"241" "Scaffold_2287" "23000001" "2.4e+07" "35"
"242" "Scaffold_2287" "24000001" "2.5e+07" "34"
"243" "Scaffold_2287" "25000001" "2.6e+07" "21"
"244" "Scaffold_2287" "26000001" "2.7e+07" "25"
"245" "Scaffold_2287" "27000001" "2.8e+07" "6"
"246" "Scaffold_326" "1" "1e+06" "48"
"247" "Scaffold_326" "1000001" "2e+06" "34"
"248" "Scaffold_326" "2000001" "3e+06" "24"
"249" "Scaffold_326" "3000001" "4e+06" "12"
"250" "Scaffold_326" "4000001" "5e+06" "13"
"251" "Scaffold_326" "5000001" "6e+06" "17"
"252" "Scaffold_326" "6000001" "7e+06" "6"
"253" "Scaffold_326" "7000001" "8e+06" "4"
"254" "Scaffold_326" "8000001" "9e+06" "4"
"255" "Scaffold_326" "9000001" "1e+07" "6"
"256" "Scaffold_326" "10000001" "1.1e+07" "8"
"257" "Scaffold_326" "11000001" "1.2e+07" "2"
"258" "Scaffold_326" "12000001" "1.3e+07" "2"
"259" "Scaffold_326" "13000001" "1.4e+07" "2"
"260" "Scaffold_326" "14000001" "1.5e+07" "3"
"261" "Scaffold_326" "15000001" "1.6e+07" "5"
"262" "Scaffold_326" "16000001" "1.7e+07" "1"
"263" "Scaffold_326" "17000001" "1.8e+07" "9"
"264" "Scaffold_326" "18000001" "1.9e+07" "8"
"265" "Scaffold_326" "19000001" "2e+07" "2"
"266" "Scaffold_326" "20000001" "2.1e+07" "4"
"267" "Scaffold_326" "21000001" "2.2e+07" "13"
"268" "Scaffold_326" "22000001" "2.3e+07" "13"
"269" "Scaffold_326" "23000001" "2.4e+07" "15"
"270" "Scaffold_326" "24000001" "2.5e+07" "25"
"271" "Scaffold_326" "25000001" "2.6e+07" "21"
"272" "Scaffold_326" "26000001" "2.7e+07" "11"
"273" "Scaffold_1174" "1" "1e+06" "32"
"274" "Scaffold_1174" "1000001" "2e+06" "32"
"275" "Scaffold_1174" "2000001" "3e+06" "21"
"276" "Scaffold_1174" "3000001" "4e+06" "6"
"277" "Scaffold_1174" "4000001" "5e+06" "16"
"278" "Scaffold_1174" "5000001" "6e+06" "2"
"279" "Scaffold_1174" "6000001" "7e+06" "3"
"280" "Scaffold_1174" "7000001" "8e+06" "6"
"281" "Scaffold_1174" "8000001" "9e+06" "10"
"282" "Scaffold_1174" "9000001" "1e+07" "8"
"283" "Scaffold_1174" "10000001" "1.1e+07" "2"
"284" "Scaffold_1174" "11000001" "1.2e+07" "0"
"285" "Scaffold_1174" "12000001" "1.3e+07" "2"
"286" "Scaffold_1174" "13000001" "1.4e+07" "9"
"287" "Scaffold_1174" "14000001" "1.5e+07" "9"
"288" "Scaffold_1174" "15000001" "1.6e+07" "5"
"289" "Scaffold_1174" "16000001" "1.7e+07" "8"
"290" "Scaffold_1174" "17000001" "1.8e+07" "12"
"291" "Scaffold_1174" "18000001" "1.9e+07" "15"
"292" "Scaffold_1174" "19000001" "2e+07" "11"
"293" "Scaffold_1174" "20000001" "2.1e+07" "30"
"294" "Scaffold_1174" "21000001" "2.2e+07" "15"
"295" "Scaffold_1174" "22000001" "2.3e+07" "19"
"296" "Scaffold_1174" "23000001" "2.4e+07" "15"
"297" "Scaffold_1174" "24000001" "2.5e+07" "32"
"298" "Scaffold_1174" "25000001" "2.6e+07" "22"
"299" "Scaffold_1174" "26000001" "2.7e+07" "0"
"300" "Scaffold_2314" "1" "1e+06" "39"
"301" "Scaffold_2314" "1000001" "2e+06" "35"
"302" "Scaffold_2314" "2000001" "3e+06" "24"
"303" "Scaffold_2314" "3000001" "4e+06" "16"
"304" "Scaffold_2314" "4000001" "5e+06" "30"
"305" "Scaffold_2314" "5000001" "6e+06" "16"
"306" "Scaffold_2314" "6000001" "7e+06" "40"
"307" "Scaffold_2314" "7000001" "8e+06" "24"
"308" "Scaffold_2314" "8000001" "9e+06" "19"
"309" "Scaffold_2314" "9000001" "1e+07" "14"
"310" "Scaffold_2314" "10000001" "1.1e+07" "10"
"311" "Scaffold_2314" "11000001" "1.2e+07" "15"
"312" "Scaffold_2314" "12000001" "1.3e+07" "14"
"313" "Scaffold_2314" "13000001" "1.4e+07" "2"
"314" "Scaffold_2314" "14000001" "1.5e+07" "3"
"315" "Scaffold_2314" "15000001" "1.6e+07" "5"
"316" "Scaffold_2314" "16000001" "1.7e+07" "5"
"317" "Scaffold_2314" "17000001" "1.8e+07" "4"
"318" "Scaffold_2314" "18000001" "1.9e+07" "6"
"319" "Scaffold_2314" "19000001" "2e+07" "19"
"320" "Scaffold_2314" "20000001" "2.1e+07" "13"
