"chrom" "V2" "V3" "counts"
"270" "Scaffold_326" "24000001" "2.5e+07" "35"
"271" "Scaffold_326" "25000001" "2.6e+07" "76"
"272" "Scaffold_326" "26000001" "2.7e+07" "44"
"273" "Scaffold_1174" "1" "1e+06" "81"
"274" "Scaffold_1174" "1000001" "2e+06" "71"
"275" "Scaffold_1174" "2000001" "3e+06" "36"
"276" "Scaffold_1174" "3000001" "4e+06" "17"
"277" "Scaffold_1174" "4000001" "5e+06" "22"
"278" "Scaffold_1174" "5000001" "6e+06" "6"
"279" "Scaffold_1174" "6000001" "7e+06" "7"
"280" "Scaffold_1174" "7000001" "8e+06" "10"
"281" "Scaffold_1174" "8000001" "9e+06" "18"
"282" "Scaffold_1174" "9000001" "1e+07" "14"
"283" "Scaffold_1174" "10000001" "1.1e+07" "9"
"284" "Scaffold_1174" "11000001" "1.2e+07" "0"
"285" "Scaffold_1174" "12000001" "1.3e+07" "4"
"286" "Scaffold_1174" "13000001" "1.4e+07" "12"
"287" "Scaffold_1174" "14000001" "1.5e+07" "15"
"288" "Scaffold_1174" "15000001" "1.6e+07" "12"
"289" "Scaffold_1174" "16000001" "1.7e+07" "17"
"290" "Scaffold_1174" "17000001" "1.8e+07" "15"
"291" "Scaffold_1174" "18000001" "1.9e+07" "21"
"292" "Scaffold_1174" "19000001" "2e+07" "36"
"293" "Scaffold_1174" "20000001" "2.1e+07" "68"
"294" "Scaffold_1174" "21000001" "2.2e+07" "80"
"295" "Scaffold_1174" "22000001" "2.3e+07" "85"
"296" "Scaffold_1174" "23000001" "2.4e+07" "122"
"297" "Scaffold_1174" "24000001" "2.5e+07" "117"
"298" "Scaffold_1174" "25000001" "2.6e+07" "126"
"299" "Scaffold_1174" "26000001" "2.7e+07" "0"
"300" "Scaffold_2314" "1" "1e+06" "93"
"301" "Scaffold_2314" "1000001" "2e+06" "105"
"302" "Scaffold_2314" "2000001" "3e+06" "99"
"303" "Scaffold_2314" "3000001" "4e+06" "117"
"304" "Scaffold_2314" "4000001" "5e+06" "109"
"305" "Scaffold_2314" "5000001" "6e+06" "74"
"306" "Scaffold_2314" "6000001" "7e+06" "67"
"307" "Scaffold_2314" "7000001" "8e+06" "45"
"308" "Scaffold_2314" "8000001" "9e+06" "30"
"309" "Scaffold_2314" "9000001" "1e+07" "37"
"310" "Scaffold_2314" "10000001" "1.1e+07" "16"
"311" "Scaffold_2314" "11000001" "1.2e+07" "29"
"312" "Scaffold_2314" "12000001" "1.3e+07" "28"
"313" "Scaffold_2314" "13000001" "1.4e+07" "9"
"314" "Scaffold_2314" "14000001" "1.5e+07" "7"
"315" "Scaffold_2314" "15000001" "1.6e+07" "13"
