"chrom" "V2" "V3" "counts"
"77" "Scaffold_10370" "15000001" "1.6e+07" "17"
"78" "Scaffold_10370" "16000001" "1.7e+07" "16"
"79" "Scaffold_10370" "17000001" "1.8e+07" "13"
"80" "Scaffold_10370" "18000001" "1.9e+07" "17"
"81" "Scaffold_10370" "19000001" "2e+07" "14"
"82" "Scaffold_10370" "20000001" "2.1e+07" "15"
"83" "Scaffold_10370" "21000001" "2.2e+07" "8"
"84" "Scaffold_10370" "22000001" "2.3e+07" "11"
"85" "Scaffold_10370" "23000001" "2.4e+07" "14"
"86" "Scaffold_10370" "24000001" "2.5e+07" "17"
"87" "Scaffold_10370" "25000001" "2.6e+07" "9"
"88" "Scaffold_10370" "26000001" "2.7e+07" "7"
"89" "Scaffold_10370" "27000001" "2.8e+07" "12"
"90" "Scaffold_10370" "28000001" "2.9e+07" "19"
"91" "Scaffold_10370" "29000001" "3e+07" "11"
"92" "Scaffold_10370" "30000001" "3.1e+07" "12"
"93" "Scaffold_10370" "31000001" "3.2e+07" "12"
"94" "Scaffold_10370" "32000001" "3.3e+07" "6"
"95" "Scaffold_10370" "33000001" "3.4e+07" "9"
"96" "Scaffold_10370" "34000001" "3.5e+07" "15"
"97" "Scaffold_10370" "35000001" "3.6e+07" "17"
"98" "Scaffold_10370" "36000001" "3.7e+07" "10"
"99" "Scaffold_10370" "37000001" "3.8e+07" "6"
"100" "Scaffold_10370" "38000001" "3.9e+07" "6"
"101" "Scaffold_10370" "39000001" "4e+07" "8"
"102" "Scaffold_10370" "40000001" "4.1e+07" "10"
"103" "Scaffold_10370" "41000001" "4.2e+07" "16"
"104" "Scaffold_10370" "42000001" "4.3e+07" "9"
"105" "Scaffold_10370" "43000001" "4.4e+07" "8"
"106" "Scaffold_10370" "44000001" "4.5e+07" "7"
"107" "Scaffold_10370" "45000001" "4.6e+07" "2"
"108" "Scaffold_10370" "46000001" "4.7e+07" "6"
"109" "Scaffold_10370" "47000001" "4.8e+07" "13"
