"chrom" "V2" "V3" "V4"
"329" "Scaffold_10429" "42000001" "4.3e+07" "0.6009"
"330" "Scaffold_10429" "43000001" "4.4e+07" "4.9564"
"331" "Scaffold_10429" "44000001" "4.5e+07" "7.196"
"332" "Scaffold_10429" "45000001" "4.6e+07" "1.5836"
"333" "Scaffold_10429" "46000001" "4.7e+07" "8.8992"
"334" "Scaffold_10429" "47000001" "4.8e+07" "13.8358"
"335" "Scaffold_10429" "48000001" "4.9e+07" "26.3348"
"336" "Scaffold_10429" "49000001" "5e+07" "38.2855"
"337" "Scaffold_10429" "50000001" "5.1e+07" "38.9894"
"338" "Scaffold_10429" "51000001" "5.2e+07" "34.028"
"339" "Scaffold_10429" "52000001" "5.3e+07" "15.418"
"340" "Scaffold_5555" "1" "1e+06" "40.9311"
"341" "Scaffold_5555" "1000001" "2e+06" "37.8349"
"342" "Scaffold_5555" "2000001" "3e+06" "26.6429"
"343" "Scaffold_5555" "3000001" "4e+06" "17.8084"
"344" "Scaffold_5555" "4000001" "5e+06" "12.087"
"345" "Scaffold_5555" "5000001" "6e+06" "5.6946"
"346" "Scaffold_5555" "6000001" "7e+06" "4.1209"
"347" "Scaffold_5555" "7000001" "8e+06" "5.169"
"348" "Scaffold_5555" "8000001" "9e+06" "0.1398"
"349" "Scaffold_5555" "9000001" "1e+07" "3.6973"
"350" "Scaffold_5555" "10000001" "1.1e+07" "0.1424"
"351" "Scaffold_5555" "11000001" "1.2e+07" "7.1202"
"352" "Scaffold_5555" "12000001" "1.3e+07" "4.7675"
"353" "Scaffold_5555" "13000001" "1.4e+07" "7.0598"
"354" "Scaffold_5555" "14000001" "1.5e+07" "3.5882"
"355" "Scaffold_5555" "15000001" "1.6e+07" "0.0297"
"356" "Scaffold_5555" "16000001" "1.7e+07" "0"
"357" "Scaffold_5555" "17000001" "1.8e+07" "0.0455"
"358" "Scaffold_5555" "18000001" "1.9e+07" "0.9511"
"359" "Scaffold_5555" "19000001" "2e+07" "5.1846"
"360" "Scaffold_5555" "20000001" "2.1e+07" "0.3081"
"361" "Scaffold_5555" "21000001" "2.2e+07" "1.1571"
"362" "Scaffold_5555" "22000001" "2.3e+07" "0.065"
"363" "Scaffold_5555" "23000001" "2.4e+07" "0"
"364" "Scaffold_5555" "24000001" "2.5e+07" "0.0975"
"365" "Scaffold_5555" "25000001" "2.6e+07" "0"
"366" "Scaffold_5555" "26000001" "2.7e+07" "0"
"367" "Scaffold_5555" "27000001" "2.8e+07" "0.4548"
"368" "Scaffold_5555" "28000001" "2.9e+07" "0.2387"
"369" "Scaffold_5555" "29000001" "3e+07" "1.2729"
"370" "Scaffold_5555" "30000001" "3.1e+07" "1.6605"
"371" "Scaffold_5555" "31000001" "3.2e+07" "1.0654"
"372" "Scaffold_5555" "32000001" "3.3e+07" "0.3565"
"373" "Scaffold_5555" "33000001" "3.4e+07" "4.0957"
"374" "Scaffold_5555" "34000001" "3.5e+07" "0.0247"
"375" "Scaffold_5555" "35000001" "3.6e+07" "0"
"376" "Scaffold_5555" "36000001" "3.7e+07" "5.0602"
"377" "Scaffold_5555" "37000001" "3.8e+07" "3.0405"
"378" "Scaffold_5555" "38000001" "3.9e+07" "9.6226"
"379" "Scaffold_5555" "39000001" "4e+07" "1.4831"
"380" "Scaffold_5555" "40000001" "4.1e+07" "2.9201"
"381" "Scaffold_5555" "41000001" "4.2e+07" "2.866"
"382" "Scaffold_5555" "42000001" "4.3e+07" "1.8064"
"383" "Scaffold_5555" "43000001" "4.4e+07" "0.1729"
"384" "Scaffold_5555" "44000001" "4.5e+07" "1.6658"
"385" "Scaffold_5555" "45000001" "4.6e+07" "4.2417"
"386" "Scaffold_5555" "46000001" "4.7e+07" "3.758"
"387" "Scaffold_5555" "47000001" "4.8e+07" "15.1792"
"388" "Scaffold_5555" "48000001" "4.9e+07" "7.3942"
"389" "Scaffold_5555" "49000001" "5e+07" "18.893"
"390" "Scaffold_5555" "50000001" "5.1e+07" "24.7293"
"391" "Scaffold_5555" "51000001" "5.2e+07" "47.006"
"392" "Scaffold_5555" "52000001" "5.3e+07" "9.2501"
"393" "Scaffold_9938" "1" "1e+06" "53.0194"
"394" "Scaffold_9938" "1000001" "2e+06" "40.4482"
"395" "Scaffold_9938" "2000001" "3e+06" "39.6751"
"396" "Scaffold_9938" "3000001" "4e+06" "26.9337"
"397" "Scaffold_9938" "4000001" "5e+06" "14.8523"
"398" "Scaffold_9938" "5000001" "6e+06" "14.3586"
"399" "Scaffold_9938" "6000001" "7e+06" "12.9711"
"400" "Scaffold_9938" "7000001" "8e+06" "8.4081"
"401" "Scaffold_9938" "8000001" "9e+06" "1.4909"
"402" "Scaffold_9938" "9000001" "1e+07" "2.4135"
"403" "Scaffold_9938" "10000001" "1.1e+07" "8.38"
"404" "Scaffold_9938" "11000001" "1.2e+07" "7.0638"
"405" "Scaffold_9938" "12000001" "1.3e+07" "0.8208"
"406" "Scaffold_9938" "13000001" "1.4e+07" "3.8614"
"407" "Scaffold_9938" "14000001" "1.5e+07" "1.3996"
"408" "Scaffold_9938" "15000001" "1.6e+07" "3.1797"
"409" "Scaffold_9938" "16000001" "1.7e+07" "0.5378"
"410" "Scaffold_9938" "17000001" "1.8e+07" "1.4448"
"411" "Scaffold_9938" "18000001" "1.9e+07" "0.5964"
"412" "Scaffold_9938" "19000001" "2e+07" "0.4377"
"413" "Scaffold_9938" "20000001" "2.1e+07" "0.0673"
"414" "Scaffold_9938" "21000001" "2.2e+07" "2.3712"
"415" "Scaffold_9938" "22000001" "2.3e+07" "3.6271"
"416" "Scaffold_9938" "23000001" "2.4e+07" "5.6841"
"417" "Scaffold_9938" "24000001" "2.5e+07" "0.0278"
"418" "Scaffold_9938" "25000001" "2.6e+07" "0"
"419" "Scaffold_9938" "26000001" "2.7e+07" "0.6377"
"420" "Scaffold_9938" "27000001" "2.8e+07" "0.7174"
"421" "Scaffold_9938" "28000001" "2.9e+07" "6.9977"
"422" "Scaffold_9938" "29000001" "3e+07" "3.4513"
"423" "Scaffold_9938" "30000001" "3.1e+07" "1.8908"
"424" "Scaffold_9938" "31000001" "3.2e+07" "0.4019"
"425" "Scaffold_9938" "32000001" "3.3e+07" "0.0491"
"426" "Scaffold_9938" "33000001" "3.4e+07" "0.0383"
"427" "Scaffold_9938" "34000001" "3.5e+07" "11.6892"
"428" "Scaffold_9938" "35000001" "3.6e+07" "9.4917"
"429" "Scaffold_9938" "36000001" "3.7e+07" "0.5023"
"430" "Scaffold_9938" "37000001" "3.8e+07" "1.571"
"431" "Scaffold_9938" "38000001" "3.9e+07" "8.0031"
"432" "Scaffold_9938" "39000001" "4e+07" "8.5753"
"433" "Scaffold_9938" "40000001" "4.1e+07" "0.8992"
"434" "Scaffold_9938" "41000001" "4.2e+07" "0.3621"
