"chrom" "V2" "V3" "counts"
"321" "Scaffold_10429" "34000001" "3.5e+07" "0"
"322" "Scaffold_10429" "35000001" "3.6e+07" "1"
"323" "Scaffold_10429" "36000001" "3.7e+07" "1"
"324" "Scaffold_10429" "37000001" "3.8e+07" "1"
"325" "Scaffold_10429" "38000001" "3.9e+07" "5"
"326" "Scaffold_10429" "39000001" "4e+07" "3"
"327" "Scaffold_10429" "40000001" "4.1e+07" "3"
"328" "Scaffold_10429" "41000001" "4.2e+07" "4"
"329" "Scaffold_10429" "42000001" "4.3e+07" "4"
"330" "Scaffold_10429" "43000001" "4.4e+07" "9"
"331" "Scaffold_10429" "44000001" "4.5e+07" "15"
"332" "Scaffold_10429" "45000001" "4.6e+07" "3"
"333" "Scaffold_10429" "46000001" "4.7e+07" "22"
"334" "Scaffold_10429" "47000001" "4.8e+07" "26"
"335" "Scaffold_10429" "48000001" "4.9e+07" "48"
"336" "Scaffold_10429" "49000001" "5e+07" "69"
"337" "Scaffold_10429" "50000001" "5.1e+07" "101"
"338" "Scaffold_10429" "51000001" "5.2e+07" "101"
"339" "Scaffold_10429" "52000001" "5.3e+07" "37"
"340" "Scaffold_5555" "1" "1e+06" "110"
"341" "Scaffold_5555" "1000001" "2e+06" "87"
"342" "Scaffold_5555" "2000001" "3e+06" "63"
"343" "Scaffold_5555" "3000001" "4e+06" "39"
"344" "Scaffold_5555" "4000001" "5e+06" "26"
"345" "Scaffold_5555" "5000001" "6e+06" "11"
"346" "Scaffold_5555" "6000001" "7e+06" "10"
"347" "Scaffold_5555" "7000001" "8e+06" "11"
"348" "Scaffold_5555" "8000001" "9e+06" "3"
"349" "Scaffold_5555" "9000001" "1e+07" "6"
"350" "Scaffold_5555" "10000001" "1.1e+07" "2"
"351" "Scaffold_5555" "11000001" "1.2e+07" "6"
"352" "Scaffold_5555" "12000001" "1.3e+07" "4"
"353" "Scaffold_5555" "13000001" "1.4e+07" "5"
"354" "Scaffold_5555" "14000001" "1.5e+07" "3"
"355" "Scaffold_5555" "15000001" "1.6e+07" "1"
"356" "Scaffold_5555" "16000001" "1.7e+07" "0"
"357" "Scaffold_5555" "17000001" "1.8e+07" "1"
"358" "Scaffold_5555" "18000001" "1.9e+07" "2"
"359" "Scaffold_5555" "19000001" "2e+07" "6"
"360" "Scaffold_5555" "20000001" "2.1e+07" "3"
"361" "Scaffold_5555" "21000001" "2.2e+07" "1"
"362" "Scaffold_5555" "22000001" "2.3e+07" "2"
"363" "Scaffold_5555" "23000001" "2.4e+07" "0"
"364" "Scaffold_5555" "24000001" "2.5e+07" "1"
"365" "Scaffold_5555" "25000001" "2.6e+07" "0"
"366" "Scaffold_5555" "26000001" "2.7e+07" "0"
"367" "Scaffold_5555" "27000001" "2.8e+07" "2"
"368" "Scaffold_5555" "28000001" "2.9e+07" "1"
"369" "Scaffold_5555" "29000001" "3e+07" "3"
"370" "Scaffold_5555" "30000001" "3.1e+07" "4"
"371" "Scaffold_5555" "31000001" "3.2e+07" "3"
"372" "Scaffold_5555" "32000001" "3.3e+07" "1"
"373" "Scaffold_5555" "33000001" "3.4e+07" "4"
"374" "Scaffold_5555" "34000001" "3.5e+07" "1"
"375" "Scaffold_5555" "35000001" "3.6e+07" "0"
"376" "Scaffold_5555" "36000001" "3.7e+07" "9"
"377" "Scaffold_5555" "37000001" "3.8e+07" "3"
"378" "Scaffold_5555" "38000001" "3.9e+07" "4"
"379" "Scaffold_5555" "39000001" "4e+07" "3"
"380" "Scaffold_5555" "40000001" "4.1e+07" "4"
"381" "Scaffold_5555" "41000001" "4.2e+07" "4"
"382" "Scaffold_5555" "42000001" "4.3e+07" "4"
"383" "Scaffold_5555" "43000001" "4.4e+07" "2"
"384" "Scaffold_5555" "44000001" "4.5e+07" "1"
"385" "Scaffold_5555" "45000001" "4.6e+07" "6"
"386" "Scaffold_5555" "46000001" "4.7e+07" "8"
"387" "Scaffold_5555" "47000001" "4.8e+07" "21"
"388" "Scaffold_5555" "48000001" "4.9e+07" "13"
"389" "Scaffold_5555" "49000001" "5e+07" "29"
"390" "Scaffold_5555" "50000001" "5.1e+07" "36"
"391" "Scaffold_5555" "51000001" "5.2e+07" "80"
"392" "Scaffold_5555" "52000001" "5.3e+07" "24"
"393" "Scaffold_9938" "1" "1e+06" "112"
"394" "Scaffold_9938" "1000001" "2e+06" "92"
"395" "Scaffold_9938" "2000001" "3e+06" "67"
"396" "Scaffold_9938" "3000001" "4e+06" "58"
"397" "Scaffold_9938" "4000001" "5e+06" "25"
"398" "Scaffold_9938" "5000001" "6e+06" "21"
"399" "Scaffold_9938" "6000001" "7e+06" "18"
"400" "Scaffold_9938" "7000001" "8e+06" "11"
"401" "Scaffold_9938" "8000001" "9e+06" "3"
"402" "Scaffold_9938" "9000001" "1e+07" "6"
"403" "Scaffold_9938" "10000001" "1.1e+07" "8"
"404" "Scaffold_9938" "11000001" "1.2e+07" "5"
"405" "Scaffold_9938" "12000001" "1.3e+07" "5"
"406" "Scaffold_9938" "13000001" "1.4e+07" "7"
"407" "Scaffold_9938" "14000001" "1.5e+07" "5"
"408" "Scaffold_9938" "15000001" "1.6e+07" "7"
"409" "Scaffold_9938" "16000001" "1.7e+07" "3"
"410" "Scaffold_9938" "17000001" "1.8e+07" "2"
"411" "Scaffold_9938" "18000001" "1.9e+07" "3"
"412" "Scaffold_9938" "19000001" "2e+07" "2"
"413" "Scaffold_9938" "20000001" "2.1e+07" "2"
"414" "Scaffold_9938" "21000001" "2.2e+07" "2"
"415" "Scaffold_9938" "22000001" "2.3e+07" "4"
"416" "Scaffold_9938" "23000001" "2.4e+07" "10"
"417" "Scaffold_9938" "24000001" "2.5e+07" "1"
"418" "Scaffold_9938" "25000001" "2.6e+07" "0"
"419" "Scaffold_9938" "26000001" "2.7e+07" "2"
"420" "Scaffold_9938" "27000001" "2.8e+07" "2"
"421" "Scaffold_9938" "28000001" "2.9e+07" "4"
"422" "Scaffold_9938" "29000001" "3e+07" "4"
"423" "Scaffold_9938" "30000001" "3.1e+07" "2"
"424" "Scaffold_9938" "31000001" "3.2e+07" "2"
"425" "Scaffold_9938" "32000001" "3.3e+07" "1"
"426" "Scaffold_9938" "33000001" "3.4e+07" "0"
"427" "Scaffold_9938" "34000001" "3.5e+07" "61"
